#from https://raw.githubusercontent.com/XENONnT/strax_auxiliary_files/master/strax_files/pmt_positions_xenonnt.csv
i,array,x,y
176,top,6.93765,20.0273
177,top,6.27423e-06,24.0327
178,top,-6.93764,28.0382
179,top,-13.8753,32.0436
180,top,-20.8129,36.0491
181,top,-27.7506,40.0545
182,top,-34.6882,44.06
183,top,-41.6259,48.0654
184,top,62.4388,-4.00544
185,top,55.5012,1.44897e-05
186,top,48.5635,4.00546
187,top,41.6259,8.01091
188,top,34.6882,12.0164
189,top,27.7506,16.0218
190,top,20.8129,20.0273
191,top,13.8753,24.0327
192,top,6.93765,28.0382
193,top,8.36565e-06,32.0436
194,top,-6.93763,36.0491
195,top,-13.8753,40.0545
196,top,-20.8129,44.06
197,top,-27.7506,48.0654
198,top,-34.6882,52.0709
199,top,62.4388,4.00547
200,top,55.5012,8.01092
201,top,48.5635,12.0164
202,top,41.6259,16.0218
203,top,34.6882,20.0273
204,top,27.7506,24.0327
205,top,20.8129,28.0382
206,top,13.8753,32.0436
207,top,6.93765,36.0491
208,top,1.04571e-05,40.0545
209,top,-6.93763,44.06
210,top,-13.8753,48.0654
211,top,-20.8129,52.0709
212,top,-27.7506,56.0763
213,top,62.4388,12.0164
214,top,55.5012,16.0218
215,top,48.5635,20.0273
216,top,41.6259,24.0327
217,top,34.6882,28.0382
218,top,27.7506,32.0436
219,top,20.8129,36.0491
220,top,13.8753,40.0545
221,top,6.93766,44.06
222,top,1.25485e-05,48.0654
223,top,-6.93763,52.0709
224,top,-13.8753,56.0763
225,top,-20.8129,60.0818
226,top,62.4388,20.0273
227,top,55.5012,24.0327
228,top,48.5635,28.0382
229,top,41.6259,32.0436
230,top,34.6882,36.0491
231,top,27.7506,40.0545
232,top,20.8129,44.06
233,top,13.8753,48.0654
234,top,6.93766,52.0709
235,top,1.46399e-05,56.0763
236,top,-6.93763,60.0818
237,top,-13.8753,64.0872
238,top,55.5012,32.0436
239,top,48.5635,36.0491
240,top,41.6259,40.0545
241,top,34.6882,44.06
242,top,27.7506,48.0654
243,top,20.8129,52.0709
244,top,13.8753,56.0763
245,top,6.93766,60.0818
246,top,1.67313e-05,64.0872
247,top,48.5635,44.06
248,top,41.6259,48.0654
249,top,34.6882,52.0709
250,top,27.7506,56.0763
251,top,20.8129,60.0818
252,top,13.8753,64.0872
253,bottom,-20.8129,-60.0818
254,bottom,-27.7506,-56.0763
255,bottom,-34.6882,-52.0709
256,bottom,-41.6259,-48.0654
257,bottom,-1.67313e-05,-64.0872
258,bottom,-6.93766,-60.0818
259,bottom,-13.8753,-56.0763
260,bottom,-20.8129,-52.0709
261,bottom,-27.7506,-48.0654
262,bottom,-34.6882,-44.06
263,bottom,-41.6259,-40.0545
264,bottom,-48.5635,-36.0491
265,bottom,-55.5012,-32.0436
266,bottom,6.93763,-60.0818
267,bottom,-1.46399e-05,-56.0763
